year,MaP_stock_kg
2025,8685743458.638968
2030,18715448173.244514
2035,31238676115.101673
2040,46189637463.1391
2045,64689149709.7899
2050,86643637696.61813
2055,111962638277.17561
2060,140558687533.86917
2065,170373179802.6589
2070,201377798016.19736
2075,232952902437.54553
2080,265087960762.44293
2085,297377922045.99036
2090,329823515320.63196
2095,362030574757.49756
2100,394010351950.9941
