year,process_index,process_name,gwp_contribution,coef_gwp,s
2060,522,Plastic Incineration CO2 to the atmosphere,356708952414.0888,1.0,356708952414.0888
2060,541,Steam Cracker CO2 to the atmosphere,348033478553.60004,1.0,348033478553.60004
2060,358,"Electricity, coal (life cycle)",214932084256.1061,1000.9430000000001,214729594.24872953
2060,649,"Petroleum refining, at refinery",132988081598.40256,0.011409594630995907,11655811262314.273
2061,227,"Heat, Natural Gas",501615848682.2635,0.0602,8332489180768.497
2061,522,Plastic Incineration CO2 to the atmosphere,361167814319.2649,1.0,361167814319.2649
2061,541,Steam Cracker CO2 to the atmosphere,352383897035.52,1.0,352383897035.52
2061,358,"Electricity, coal (life cycle)",208112828615.08783,1000.9430000000001,207916763.10747746
2061,649,"Petroleum refining, at refinery",133323628749.31416,0.011409594630995907,11685220471121.748
2062,227,"Heat, Natural Gas",508321979633.63165,0.0602,8443886704877.603
2062,522,Plastic Incineration CO2 to the atmosphere,365626676224.44104,1.0,365626676224.44104
2062,541,Steam Cracker CO2 to the atmosphere,356734315517.44,1.0,356734315517.44
2062,358,"Electricity, coal (life cycle)",201065400232.25638,1000.9430000000001,200875974.18859652
2062,649,"Petroleum refining, at refinery",133626415310.86609,0.011409594630995907,11711758360621.29
2063,227,"Heat, Natural Gas",515040631138.55804,0.0602,8555492211603.955
2063,522,Plastic Incineration CO2 to the atmosphere,370085538129.6171,1.0,370085538129.6171
2063,541,Steam Cracker CO2 to the atmosphere,361084733999.36,1.0,361084733999.36
2063,358,"Electricity, coal (life cycle)",193786602301.72757,1000.9430000000001,193604033.6979504
2063,649,"Petroleum refining, at refinery",133896441283.0582,0.011409594630995907,11735424930812.885
2064,227,"Heat, Natural Gas",521771803197.05273,0.0602,8667305700947.721
2064,522,Plastic Incineration CO2 to the atmosphere,374544400034.7933,1.0,374544400034.7933
2064,541,Steam Cracker CO2 to the atmosphere,365435152481.28,1.0,365435152481.28
2064,358,"Electricity, coal (life cycle)",186280026561.14957,1000.9430000000001,186104529.98936957
2064,649,"Petroleum refining, at refinery",134133706665.89069,0.011409594630995907,11756220181696.55
2065,227,"Heat, Natural Gas",527983372282.72894,0.0602,8770487911673.239
2065,522,Plastic Incineration CO2 to the atmosphere,379003261939.9694,1.0,379003261939.9694
2065,541,Steam Cracker CO2 to the atmosphere,369785570963.2,1.0,369785570963.2
2065,358,"Electricity, coal (life cycle)",178587637413.62775,1000.9430000000001,178419387.93080896
