year,process_index,process_name,gwp_contribution,coef_gwp,s
2098,541,Steam Cracker CO2 to the atmosphere,454183689512.448,1.0,454183689512.448
2098,33,"Open Burning, PP",132791515574.16248,1.9648979591836733,67581888898.35856
2098,649,"Petroleum refining, at refinery",127376671842.33405,0.011409594630995907,11163996264713.547
2099,227,"Heat, Natural Gas",666737557744.5413,0.0602,11075374713364.473
2099,522,Plastic Incineration CO2 to the atmosphere,466842841471.9387,1.0,466842841471.9387
2099,541,Steam Cracker CO2 to the atmosphere,455488815057.0239,1.0,455488815057.0239
2099,33,"Open Burning, PP",133173100389.03075,1.9648979591836733,67776089728.526245
2099,649,"Petroleum refining, at refinery",124312663055.45914,0.011409594630995907,10895449582209.064
2100,227,"Heat, Natural Gas",669962638670.085,0.0602,11128947486214.037
2100,522,Plastic Incineration CO2 to the atmosphere,468180500043.4916,1.0,468180500043.4916
2100,541,Steam Cracker CO2 to the atmosphere,456793940601.6,1.0,456793940601.6
2100,33,"Open Burning, PP",133554685203.89903,1.9648979591836733,67970290558.69395
2100,649,"Petroleum refining, at refinery",121228997914.96841,0.011409594630995907,10625180108119.82
