index,provider ID,provider name,provider category,provider location,flow ID,flow name,flow category,flow unit,flow type,provider_key
20,d3db6ab2-33de-453b-ac74-0567ba7fa95b,"Natural gas, processed, for energy use, at plant","21: Mining, Quarrying, and Oil and Gas Extraction/2111: Oil and Gas Extraction",,1a34bf95-f897-4af9-b70c-368fce9e41d6,"Natural gas, production mixture, to energy use","Technosphere flows/21: Mining, Quarrying, and Oil and Gas Extraction/2111: Oil and Gas Extraction",kg,product,"natural gas, processed, for energy use, at plant"
21,d3e13675-1455-375f-a557-bb8234de75ff,"Gasoline, combusted in equipment","22: Utilities/2213: Water, Sewage and Other Systems",RNA,bc38e349-1ccf-3855-a615-a4f581ab875b,"Gasoline, combusted in equipment","Technosphere flows/22: Utilities/2213: Water, Sewage and Other Systems",m3,product,"gasoline, combusted in equipment"
27,ee8077d4-d28c-46c4-9f15-5b22bce6063d,"Natural gas, production mixture, at processing","21: Mining, Quarrying, and Oil and Gas Extraction/2111: Oil and Gas Extraction",US,1a30ee75-215c-47ab-8927-8d15cdf63407,"Natural gas, production mixture, at processing","Technosphere flows/21: Mining, Quarrying, and Oil and Gas Extraction/2111: Oil and Gas Extraction",kg,product,"natural gas, production mixture, at processing"
32,4eaec911-05e8-304e-b7a6-98ce06fc9820,"Hydrogen, liquid, synthesis gas, at plant",31-33: Manufacturing/3251: Basic Chemical Manufacturing,RNA,f842f7d2-426a-44e0-ae4c-d1c96a977f84,"Hydrogen, at plant",Technosphere flows/31-33: Manufacturing/3251: Basic Chemical Manufacturing,kg,product,"hydrogen, liquid, synthesis gas, at plant"
35,c7fec37a-a023-3563-84d6-fa33a6b19f2f,"Corn wet milling, operations, AP-42",31-33: Manufacturing/3112: Grain and Oilseed Milling,RNA,d6bfc1d8-069b-3604-9685-9ed45c6dfce4,"Corn wet milling, operations, AP-42",Technosphere flows/31-33: Manufacturing/3112: Grain and Oilseed Milling,kg,product,"corn wet milling, operations, ap-42"
43,520ecb54-7b55-42ca-97c3-4b8192189356,"Ethylene, materials production, organic compound, at plant, kg",31-33: Manufacturing/3251: Basic Chemical Manufacturing,US,ec1bf0d1-ff71-4960-aa0f-9fc87c14f972,"Ethylene, at plant, kg",Technosphere flows/31-33: Manufacturing/3241: Petroleum and Coal Products Manufacturing,kg,product,"ethylene, materials production, organic compound, at plant, kg"
46,a3e150d0-770e-4e2a-9b19-f7daa8cda38b,Chlorine; chlor-alkali electrolysis; at plant,31-33: Manufacturing/3251: Basic Chemical Manufacturing,US,8db1425d-16fb-4003-98f5-1d12d5995feb,Chlorine; chlor-alkali electrolysis; at plant,Technosphere flows/31-33: Manufacturing/3251: Basic Chemical Manufacturing,kg,product,chlorine; chlor-alkali electrolysis; at plant
47,363e9105-a6ea-356e-a537-06c9facf5b14,Aniline; at plant,31-33: Manufacturing/3251: Basic Chemical Manufacturing,RNA,2293e639-39a3-3cbf-99cc-8cf01797aa99,"Aniline, at plant",Technosphere flows/31-33: Manufacturing/3251: Basic Chemical Manufacturing,kg,product,aniline; at plant
48,e0368d96-44a3-3628-8220-e6ae975b0931,"Carbon monoxide, at plant",31-33: Manufacturing/3251: Basic Chemical Manufacturing,RNA,0461a6e2-75a9-36af-8e1a-c9ad9dcdb99d,"Carbon monoxide, at plant",Technosphere flows/31-33: Manufacturing/3251: Basic Chemical Manufacturing,kg,product,"carbon monoxide, at plant"
59,53804132-4bd6-3b18-bfbd-14ac762431ef,"Diesel, combusted in industrial boiler","22: Utilities/2213: Water, Sewage and Other Systems",RNA,e04995fa-935b-316c-b112-5b436c8ea3d6,"Diesel, combusted in industrial boiler","Technosphere flows/22: Utilities/2213: Water, Sewage and Other Systems",m3,product,"diesel, combusted in industrial boiler"
