year,co2_sum
2025,839927422545.0469
2026,868773157894.1403
2027,898284379752.6464
2028,927729745827.2986
2029,956272918280.1705
2030,985560218678.5018
2031,1036837471161.2861
2032,1116880740499.8938
2033,1169150898713.3638
2034,1221233181234.552
2035,1273128284807.8171
2036,1324835828622.783
2037,1413215634440.4644
2038,1465929527487.3225
2039,1518450966098.7712
2040,1570780803310.4658
2041,1687282212136.4333
2042,1765156648669.163
2043,1841334948311.8425
2044,1966102814834.821
2045,2043570052361.2532
2046,2173565604087.518
2047,2253994700197.554
2048,2332436949370.6753
2049,2412333405611.4927
2050,2550831213488.6226
2051,2630365259887.68
2052,2709548116152.48
2053,2852917970096.6797
2054,2931654785457.131
2055,3015438814336.0396
2056,3165348218768.2603
2057,3246594079653.1274
2058,3329773702911.252
2059,3486163600387.0474
2060,3570646488067.874
2061,3608710455507.1587
2062,3646611281385.884
2063,3603967662590.6235
2064,3640640831627.6187
2065,3679710207324.825
2066,3716094614161.426
2067,3752318529613.814
2068,3791026864943.9575
2069,3826964143367.3833
2070,3865443626426.235
2071,3884488360744.088
2072,3818443712383.467
2073,3839436683685.4287
2074,3857496424479.8203
2075,3878221403962.055
2076,3898815637165.4756
2077,3919289900440.3037
2078,3939636319213.928
2079,3956952698372.712
2080,3977029110504.5664
2081,3992425589859.4277
2082,4097218799123.578
2083,4112857127578.6367
2084,4128444823685.29
2085,4141012088364.5073
2086,4250361018075.1587
2087,4266133492112.4956
2088,4278875769972.5605
2089,4294526730546.2515
2090,4405466150549.045
2091,4409642347120.969
2092,4509695054029.34
2093,4517024486731.85
2094,4617826519846.907
2095,4622397728344.17
2096,4723972542239.797
2097,4728733225987.306
2098,4833982188279.624
2099,4838947780264.935
2100,4942041777688.725
