year,process_index,process_name,gwp_contribution,abs_contribution,coef_gwp,s
2037,543,"Forest residue, processed and loaded, at landing system",2070587373249.404,2070587373249.404,3648.9687974650556,567444526.9819365
2037,358,"Electricity, coal (life cycle)",233785211150.26303,233785211150.26303,1000.9430000000001,233564959.3935549
2037,227,"Heat, Natural Gas",219012404635.98633,219012404635.98633,0.0602,3638079811229.009
2037,522,Plastic Incineration CO2 to the atmosphere,159627256205.30472,159627256205.30472,1.0,159627256205.30472
2037,541,Steam Cracker CO2 to the atmosphere,155744981652.73602,155744981652.73602,1.0,155744981652.73602
2038,543,"Forest residue, processed and loaded, at landing system",1986462237202.058,1986462237202.058,3368.968797465055,589635095.0761998
2038,358,"Electricity, coal (life cycle)",236260574168.2552,236260574168.2552,1000.9430000000001,236037990.34336138
2038,227,"Heat, Natural Gas",227577135543.539,227577135543.539,0.0602,3780351088763.1064
2038,522,Plastic Incineration CO2 to the atmosphere,165869662872.55127,165869662872.55127,1.0,165869662872.55127
2038,541,Steam Cracker CO2 to the atmosphere,161835567527.424,161835567527.424,1.0,161835567527.424
2039,543,"Forest residue, processed and loaded, at landing system",1889910383021.937,1889910383021.937,3088.9687974650556,611825663.1704668
2039,358,"Electricity, coal (life cycle)",238234915834.0069,238234915834.0069,1000.9430000000001,238010471.9589496
2039,227,"Heat, Natural Gas",236141866451.09143,236141866451.09143,0.0602,3922622366297.2
2039,522,Plastic Incineration CO2 to the atmosphere,172112069539.79782,172112069539.79782,1.0,172112069539.79782
2039,541,Steam Cracker CO2 to the atmosphere,167926153402.112,167926153402.112,1.0,167926153402.112
2040,543,"Forest residue, processed and loaded, at landing system",1780931810709.1414,1780931810709.1414,2808.9687974650556,634016231.2647749
2040,227,"Heat, Natural Gas",244706597358.64563,244706597358.64563,0.0602,4064893643831.3228
2040,358,"Electricity, coal (life cycle)",239706662162.78238,239706662162.78238,1000.9430000000001,239480831.738453
2040,522,Plastic Incineration CO2 to the atmosphere,178354476207.0444,178354476207.0444,1.0,178354476207.0444
2040,541,Steam Cracker CO2 to the atmosphere,174016739276.80002,174016739276.80002,1.0,174016739276.80002
2041,543,"Forest residue, processed and loaded, at landing system",1668665517154.0862,1668665517154.0862,2528.9687974650556,659820524.0122751
2041,227,"Heat, Natural Gas",257204858851.37436,257204858851.37436,0.0602,4272505960986.285
2041,358,"Electricity, coal (life cycle)",243619121812.6964,243619121812.6964,1000.9430000000001,243389605.41479024
2041,522,Plastic Incineration CO2 to the atmosphere,187272200017.39664,187272200017.39664,1.0,187272200017.39664
2041,541,Steam Cracker CO2 to the atmosphere,182717576240.64,182717576240.64,1.0,182717576240.64
2042,543,"Forest residue, processed and loaded, at landing system",1554578426165.3374,1554578426165.3374,2248.968797465055,691240548.9651942
2042,227,"Heat, Natural Gas",269452709272.8668,269452709272.8668,0.0602,4475958625795.13
2042,358,"Electricity, coal (life cycle)",246829281836.0359,246829281836.0359,1000.9430000000001,246596741.10916993
2042,522,Plastic Incineration CO2 to the atmosphere,196189923827.74887,196189923827.74887,1.0,196189923827.74887
2042,541,Steam Cracker CO2 to the atmosphere,191418413204.48,191418413204.48,1.0,191418413204.48
2043,543,"Forest residue, processed and loaded, at landing system",1410180339492.435,1410180339492.435,1968.9687974650549,716202481.8818709
2043,227,"Heat, Natural Gas",281988532426.2806,281988532426.2806,0.0602,4684194890802.003
2043,358,"Electricity, coal (life cycle)",249213719376.5632,249213719376.5632,1000.9430000000001,248978932.2434576
2043,522,Plastic Incineration CO2 to the atmosphere,205107647638.10107,205107647638.10107,1.0,205107647638.10107
2043,541,Steam Cracker CO2 to the atmosphere,200119250168.31998,200119250168.31998,1.0,200119250168.31998
2044,543,"Forest residue, processed and loaded, at landing system",1262236846503.228,1262236846503.228,1688.9687974650553,747341720.2246116
2044,227,"Heat, Natural Gas",294248903401.33813,294248903401.33813,0.0602,4887855538228.209
2044,358,"Electricity, coal (life cycle)",250896866927.5275,250896866927.5275,1000.9430000000001,250660494.0816085
2044,522,Plastic Incineration CO2 to the atmosphere,214025371448.45328,214025371448.45328,1.0,214025371448.45328
2044,541,Steam Cracker CO2 to the atmosphere,208820087132.15997,208820087132.15997,1.0,208820087132.15997
2045,543,"Forest residue, processed and loaded, at landing system",1086964890726.4196,1086964890726.4196,1408.9687974650556,771461293.3104204
2045,227,"Heat, Natural Gas",306822288215.4357,306822288215.4357,0.0602,5096715751086.973
2045,358,"Electricity, coal (life cycle)",251754781582.27527,251754781582.27527,1000.9430000000001,251517600.48501787
2045,522,Plastic Incineration CO2 to the atmosphere,222943095258.8055,222943095258.8055,1.0,222943095258.8055
2045,541,Steam Cracker CO2 to the atmosphere,217520924096.0,217520924096.0,1.0,217520924096.0
2046,543,"Forest residue, processed and loaded, at landing system",905793957743.5392,905793957743.5392,1128.968797465055,802319745.0428883
2046,227,"Heat, Natural Gas",319095179744.055,319095179744.055,0.0602,5300584381130.481
2046,358,"Electricity, coal (life cycle)",252787596174.30768,252787596174.30768,1000.9430000000001,252549442.05045408
2046,522,Plastic Incineration CO2 to the atmosphere,231860819069.15775,231860819069.15775,1.0,231860819069.15775
2046,541,Steam Cracker CO2 to the atmosphere,226221761059.83997,226221761059.83997,1.0,226221761059.83997
2047,543,"Forest residue, processed and loaded, at landing system",707342291790.3905,707342291790.3905,848.9687974650556,833178196.7752537
2047,227,"Heat, Natural Gas",331368071272.6706,331368071272.6706,0.0602,5504453011173.931
2047,358,"Electricity, coal (life cycle)",253126348404.89023,253126348404.89023,1000.9430000000001,252887875.13863447
2047,522,Plastic Incineration CO2 to the atmosphere,240778542879.50995,240778542879.50995,1.0,240778542879.50995
2047,541,Steam Cracker CO2 to the atmosphere,234922598023.68,234922598023.68,1.0,234922598023.68
2048,543,"Forest residue, processed and loaded, at landing system",487136645907.4187,487136645907.4187,568.9687974650553,856174623.4200785
2048,227,"Heat, Natural Gas",343991538301.01874,343991538301.01874,0.0602,5714145154501.973
2048,358,"Electricity, coal (life cycle)",252704998079.49118,252704998079.49118,1000.9430000000001,252466921.77225992
2048,522,Plastic Incineration CO2 to the atmosphere,249696266689.86215,249696266689.86215,1.0,249696266689.86215
2048,541,Steam Cracker CO2 to the atmosphere,243623434987.52,243623434987.52,1.0,243623434987.52
2049,227,"Heat, Natural Gas",356276950383.19586,356276950383.19586,0.0602,5918221767162.723
2049,522,Plastic Incineration CO2 to the atmosphere,258613990500.21442,258613990500.21442,1.0,258613990500.21442
2049,543,"Forest residue, processed and loaded, at landing system",256243742469.41406,256243742469.41406,288.968797465055,886752288.5421622
2049,541,Steam Cracker CO2 to the atmosphere,252324271951.36002,252324271951.36002,1.0,252324271951.36002
2049,358,"Electricity, coal (life cycle)",251652571581.55447,251652571581.55447,1000.9430000000001,251415486.77752325
2050,227,"Heat, Natural Gas",368562362465.37506,368562362465.37506,0.0602,6122298379823.507
2050,522,Plastic Incineration CO2 to the atmosphere,267531714310.5666,267531714310.5666,1.0,267531714310.5666
2050,541,Steam Cracker CO2 to the atmosphere,261025108915.2,261025108915.2,1.0,261025108915.2
2050,358,"Electricity, coal (life cycle)",249905137842.18564,249905137842.18564,1000.9430000000001,249669699.31573087
2050,649,"Petroleum refining, at refinery",106620784964.34189,106620784964.34189,0.011409594630995907,9344835501402.498
2051,227,"Heat, Natural Gas",381235911707.97034,381235911707.97034,0.0602,6332822453620.7705
2051,522,Plastic Incineration CO2 to the atmosphere,276449438120.9188,276449438120.9188,1.0,276449438120.9188
2051,541,Steam Cracker CO2 to the atmosphere,269725945879.03998,269725945879.03998,1.0,269725945879.03998
2051,358,"Electricity, coal (life cycle)",248310529380.40842,248310529380.40842,1000.9430000000001,248076593.15306506
2051,649,"Petroleum refining, at refinery",109159232859.66882,109159232859.66882,0.011409594630995907,9567319119569.865
2052,227,"Heat, Natural Gas",393934502057.6873,393934502057.6873,0.0602,6543762492652.613
2052,522,Plastic Incineration CO2 to the atmosphere,285367161931.271,285367161931.271,1.0,285367161931.271
2052,541,Steam Cracker CO2 to the atmosphere,278426782842.88,278426782842.88,1.0,278426782842.88
2052,358,"Electricity, coal (life cycle)",246082083117.24857,246082083117.24857,1000.9430000000001,245850246.33495468
2052,543,"Forest residue, processed and loaded, at landing system",-145067726569.53265,145067726569.53265,-151.0312025349443,960514940.8511671
2053,227,"Heat, Natural Gas",406658133514.525,406658133514.525,0.0602,6755118496919.0205
2053,522,Plastic Incineration CO2 to the atmosphere,294284885741.6232,294284885741.6232,1.0,294284885741.6232
2053,541,Steam Cracker CO2 to the atmosphere,287127619806.72003,287127619806.72003,1.0,287127619806.72003
2053,358,"Electricity, coal (life cycle)",243217668497.02536,243217668497.02536,1000.9430000000001,242988530.31294024
2053,543,"Forest residue, processed and loaded, at landing system",-226702850193.53976,226702850193.53976,-231.0312025349443,981265074.6136775
2054,227,"Heat, Natural Gas",418629855688.60065,418629855688.60065,0.0602,6953984313764.131
2054,543,"Forest residue, processed and loaded, at landing system",-311482465650.9527,311482465650.9527,-311.0312025349443,1001450861.2394208
2054,522,Plastic Incineration CO2 to the atmosphere,303202609551.9754,303202609551.9754,1.0,303202609551.9754
2054,541,Steam Cracker CO2 to the atmosphere,295828456770.56,295828456770.56,1.0,295828456770.56
2054,358,"Electricity, coal (life cycle)",239693708040.90668,239693708040.90668,1000.9430000000001,239467889.82080564
2055,227,"Heat, Natural Gas",431742300374.91754,431742300374.91754,0.0602,7171799009550.126
2055,543,"Forest residue, processed and loaded, at landing system",-403117255097.8976,403117255097.8976,-391.0312025349443,1030908153.8368366
2055,522,Plastic Incineration CO2 to the atmosphere,312120333362.3277,312120333362.3277,1.0,312120333362.3277
2055,541,Steam Cracker CO2 to the atmosphere,304529293734.4,304529293734.4,1.0,304529293734.4
2055,358,"Electricity, coal (life cycle)",235647762530.2579,235647762530.2579,1000.9430000000001,235425756.04230997
2056,543,"Forest residue, processed and loaded, at landing system",-494702571590.3301,494702571590.3301,-471.0312025349443,1050254354.5480506
2056,227,"Heat, Natural Gas",444528534599.56635,444528534599.56635,0.0602,7384194926903.096
2056,522,Plastic Incineration CO2 to the atmosphere,321038057172.67993,321038057172.67993,1.0,321038057172.67993
