year,co2_pos,co2_bio,co2_sum
2025,1806076362605.0269,-1044385884429.2275,761690478175.7993
2026,1868285670869.1414,-1082363552953.9272,785922117915.2141
2027,1930251666632.9363,-1120341221478.6265,809910445154.3098
2028,1991974584461.4788,-1158318890003.3252,833655694458.1536
2029,2053455780914.3835,-1196296558528.025,857159222386.3586
2030,2114692275722.3037,-1234274227052.7236,880418048669.5801
2031,2221946510685.213,-1300735146970.9468,921211363714.2661
2032,2328523751560.315,-1367196066889.171,961327684671.144
2033,2434426203857.0293,-1433656986807.3945,1000769217049.6348
2034,2539651549941.2007,-1500117906725.6182,1039533643215.5825
2035,2644202300887.734,-1566578826643.8418,1077623474243.8921
2036,2748077084251.5195,-1633039746562.0652,1115037337689.4543
2037,2851274684482.1836,-1699500666480.289,1151774018001.8945
2038,2953797648938.953,-1765961586398.5127,1187836062540.4404
2039,3055643321834.6206,-1832422506316.736,1223220815517.8845
2040,3156814705198.488,-1898883426234.9602,1257931278963.5276
2041,3306537654251.329,-1993827597546.7078,1312710056704.6213
2042,3455487016420.06,-2088771768858.455,1366715247561.605
2043,3603663780953.38,-2183715940170.2036,1419947840783.1763
2044,3751067319607.7383,-2278660111481.951,1472407208125.787
2045,3897699688362.652,-2373604282793.699,1524095405568.9526
2046,4043552953551.3633,-2468548454105.4473,1575004499445.916
2047,4188640881879.8853,-2563492625417.196,1625148256462.6895
2048,4332952014414.1377,-2658436796728.944,1674515217685.1938
2049,4476489993822.219,-2753380968040.6914,1723109025781.5273
2050,4619252740667.156,-2848325139352.4404,1770927601314.7158
2051,4761698730204.387,-2943269310664.187,1818429419540.1997
2052,4903406234337.345,-3038213481975.9355,1865192752361.4092
2053,5044362764469.623,-3133157653287.6836,1911205111181.9395
2054,5184577606284.268,-3228101824599.4316,1956475781684.836
2055,5324046900125.454,-3323045995911.1797,2001000904214.2744
2056,5462773891473.636,-3417990167222.9287,2044783724250.707
2057,5600757240120.022,-3512934338534.676,2087822901585.3467
2058,5738000458792.95,-3607878509846.4243,2130121948946.526
2059,5874496329690.984,-3702822681158.172,2171673648532.8125
2060,6010246403206.721,-3797766852469.9204,2212479550736.8003
2061,6072771303706.248,-3845238938125.795,2227532365580.453
2062,6134977162318.726,-3892711023781.6675,2242266138537.058
2063,6196874352073.16,-3940183109437.542,2256691242635.618
2064,6258465898304.648,-3987655195093.4155,2270810703211.233
2065,6319740965546.053,-4035127280749.2896,2284613684796.763
2066,6380709705672.086,-4082599366405.1636,2298110339266.9224
2067,6441362154869.635,-4130071452061.0366,2311290702808.598
2068,6501699639088.565,-4177543537716.91,2324156101371.6553
2069,6561735047174.387,-4225015623372.787,2336719423801.5996
2070,6621453664607.594,-4272487709028.659,2348965955578.9346
2071,6647237338941.231,-4305718168987.771,2341519169953.4604
2072,6672630880458.86,-4338948628946.883,2333682251511.9775
2073,6697620609098.085,-4372179088905.995,2325441520192.09
2074,6722220735644.602,-4405409548865.108,2316811186779.493
2075,6746423863397.645,-4438640008824.219,2307783854573.426
2076,6770213112522.838,-4471870468783.33,2298342643739.508
2077,6793622595662.458,-4505100928742.442,2288521666920.0156
2078,6816627385779.712,-4538331388701.553,2278295997078.159
2079,6839243036466.248,-4571561848660.666,2267681187805.582
2080,6861454267598.922,-4604792308619.778,2256661958979.1436
2081,6880663494841.566,-4628528351447.714,2252135143393.8525
2082,6899707168544.397,-4652264394275.651,2247442774268.746
2083,6918576618337.159,-4676000437103.588,2242576181233.5713
2084,6937289021258.74,-4699736479931.526,2237552541327.214
2085,6955826979994.049,-4723472522759.465,2232354457234.584
2086,6974207639398.926,-4747208565587.398,2226999073811.5273
2087,6992422559224.159,-4770944608415.336,2221477950808.823
2088,7010463399387.678,-4794680651243.271,2215782748144.4062
2089,7028350380085.159,-4818416694071.208,2209933686013.951
2090,7046067800418.28,-4842152736899.149,2203915063519.131
2091,7058356479180.476,-4856394362595.909,2201962116584.5664
2092,7070596765142.261,-4870635988292.674,2199960776849.587
2093,7082794373716.709,-4884877613989.432,2197916759727.2773
2094,7094938641300.035,-4899119239686.196,2195819401613.8389
2095,7107037385422.692,-4913360865382.96,2193676520039.7324
2096,7119080209986.173,-4927602491079.721,2191477718906.4521
2097,7131071762836.442,-4941844116776.481,2189227646059.961
2098,7143022184608.967,-4956085742473.244,2186936442135.7227
2099,7154927390193.582,-4970327368170.006,2184600022023.5762
2100,7166763956059.699,-4984568993866.768,2182194962192.9316
