Provider name,Input parameters names,Circularity,Upstream Chemicals,Electricity Source,Carbon Capture,Microplastic Treatment,Carbon Capture / Electricity Source,Circularity / Electricity Source,All
"Flakes, Multi-material Food Packaging Film (med-large format)","STRAP, Multi-material Food Packaging Film (med-large format) (Flakes)",1,0,0,0,0,0,1,1
"Flakes, Multi-material Food Packaging Film (small format)","STRAP, Multi-material Food Packaging Film (small format) (Flakes)",1,0,0,0,0,0,1,1
"Flakes, Multi-material Food Packaging Film (small format)","Delamination, Multi-material Food Packaging Film (small format) (Flakes)",1,0,0,0,0,0,1,1
"Flakes, Multi-material Non-food Packaging Film","Delamination, Multi-material Non-food Packaging Film (Flakes)",1,0,0,0,0,0,1,1
"Flakes, Multi-material Non-food Packaging Film","STRAP, Multi-material Non-food Packaging Film (Flakes)",1,0,0,0,0,0,1,1
"Flakes, PET Drinking Bottles","Mechanical Recycling, PET Drinking Bottles (Flakes)",1,0,0,0,0,0,1,1
"Flakes, PET Drinking Bottles","Depolymerization, Enzymatic Hydrolysis, PET Drinking Bottles (Flakes)",1,0,0,0,0,0,1,1
"Flakes, PET Food Bottles","Mechanical Recycling, PET Food Bottles (Flakes)",1,0,0,0,0,0,1,1
"Flakes, PET Food Bottles","Depolymerization, Enzymatic Hydrolysis, PET Food Bottles (Flakes)",1,0,0,0,0,0,1,1
"Flakes, PET Non-food Bottles","Depolymerization, Enzymatic Hydrolysis, PET Non-food Bottles (Flakes)",1,0,0,0,0,0,1,1
"Flakes, PET Non-food Bottles","Mechanical Recycling, PET Non-food Bottles (Flakes)",1,0,0,0,0,0,1,1
"Flakes, PET Other Food Rigid","Depolymerization, Enzymatic Hydrolysis, PET Other Food Rigid (Flakes)",1,0,0,0,0,0,1,1
"Flakes, PET Other Food Rigid","Mechanical Recycling, PET Other Food Rigid (Flakes)",1,0,0,0,0,0,1,1
"Flakes, PET Other Non-food Rigid","Depolymerization, Enzymatic Hydrolysis, PET Other Non-food Rigid (Flakes)",1,0,0,0,0,0,1,1
"Flakes, PET Other Non-food Rigid","Mechanical Recycling, PET Other Non-food Rigid (Flakes)",1,0,0,0,0,0,1,1
"Flakes, PP Food Bottles","Mechanical Recycling, PP Food Bottles (Flakes)",1,0,0,0,0,0,1,1
"Flakes, PP Food Bottles","Pyrolysis, PP Food Bottles",1,0,0,0,0,0,1,1
"Flakes, PP Food Packaging Film (med-large format)","Pyrolysis, PP Food Packaging Film (med-large format)",1,0,0,0,0,0,1,1
"Flakes, PP Food Packaging Film (med-large format)","Mechanical Recycling, PP Food Packaging Film (med-large format) (Flakes)",1,0,0,0,0,0,1,1
"Flakes, PP Food Packaging Film (small format)","Mechanical Recycling, PP Food Packaging Film (small format) (Flakes)",1,0,0,0,0,0,1,1
"Flakes, PP Food Packaging Film (small format)","Pyrolysis, PP Food Packaging Film (small format)",1,0,0,0,0,0,1,1
"Flakes, PP Non-food Bottles","Mechanical Recycling, PP Non-food Bottles (Flakes)",1,0,0,0,0,0,1,1
"Flakes, PP Non-food Bottles","Pyrolysis, PP Non-food Bottles",1,0,0,0,0,0,1,1
"Flakes, PP Non-food Packaging Films","Pyrolysis, PP Non-food Packaging Films",1,0,0,0,0,0,1,1
"Flakes, PP Non-food Packaging Films","Mechanical Recycling, PP Non-food Packaging Films (Flakes)",1,0,0,0,0,0,1,1
"Flakes, PP Other Food Rigid","Mechanical Recycling, PP Other Food Rigid (Flakes)",1,0,0,0,0,0,1,1
"Flakes, PP Other Food Rigid","Pyrolysis, PP Other Food Rigid",1,0,0,0,0,0,1,1
"Flakes, PP Other Non-food Rigid","Mechanical Recycling, PP Other Non-food Rigid (Flakes)",1,0,0,0,0,0,1,1
"Flakes, PP Other Non-food Rigid","Pyrolysis, PP Other Non-food Rigid",1,0,0,0,0,0,1,1
"Flakes, PS Other Food Rigid","Mechanical Recycling, PS Other Food Rigid (Flakes)",1,0,0,0,0,0,1,1
"Flakes, PS Other Food Rigid","Depolymerization, Chemical Recycling with Metal Oxide, PS Other Food Rigid (Flakes)",1,0,0,0,0,0,1,1
Electricity Mix (Global),Clean Electricity,0,0,1,0,0,1,1,1
Electricity Mix (Global),Fossil Electricity,0,0,1,0,0,1,1,1
"generated waste, HDPE drinking bottles","High-tech Sorting, Collected HDPE Drinking Bottles",1,0,0,0,0,0,0,1
"generated waste, HDPE drinking bottles","Low-tech Sorting, Collected HDPE Drinking Bottles",1,0,0,0,0,0,0,1
"generated waste, HDPE drinking bottles","Disposal, HDPE Drinking Bottles (copy)",1,0,0,0,0,0,0,1
"generated waste, HDPE food bottles","Low-tech Sorting, Collected HDPE Food Bottles",1,0,0,0,0,0,0,1
"generated waste, HDPE food bottles","High-tech Sorting, Collected HDPE Food Bottles",1,0,0,0,0,0,0,1
"generated waste, HDPE food bottles","Disposal, HDPE Food Bottles (copy)",1,0,0,0,0,0,0,1
"generated waste, HDPE non-food bottles","Low-tech Sorting, Collected HDPE Non-food Bottles",1,0,0,0,0,0,0,1
"generated waste, HDPE non-food bottles","High-tech Sorting, Collected HDPE Non-food Bottles",1,0,0,0,0,0,0,1
"generated waste, HDPE non-food bottles","Disposal, HDPE Non-food Bottles (copy)",1,0,0,0,0,0,0,1
"generated waste, HDPE other food rigid","Low-tech Sorting, Collected HDPE Other Food Rigid",1,0,0,0,0,0,0,1
"generated waste, HDPE other food rigid","High-tech Sorting, Collected HDPE Other Food Rigid",1,0,0,0,0,0,0,1
"generated waste, HDPE other food rigid","Disposal, HDPE Other Food Rigid (copy)",1,0,0,0,0,0,0,1
"generated waste, HDPE Other Non-food Rigid","Low-tech Sorting, Collected HDPE Other Non-food Rigid",1,0,0,0,0,0,0,1
"generated waste, HDPE Other Non-food Rigid","High-tech Sorting, Collected HDPE Other Non-food Rigid",1,0,0,0,0,0,0,1
"generated waste, HDPE Other Non-food Rigid","Disposal, HDPE Other Non-food Rigid (copy)",1,0,0,0,0,0,0,1
"generated waste, LDPE Food Packaging Film (med-large format)","Low-tech Sorting, Collected LDPE Food Packaging Film (med-large format)",1,0,0,0,0,0,0,1
"generated waste, LDPE Food Packaging Film (med-large format)","High-tech Sorting, Collected LDPE Food Packaging Film (med-large format)",1,0,0,0,0,0,0,1
"generated waste, LDPE Food Packaging Film (med-large format)","Disposal, LDPE Food Packaging Film (med-large format) (copy)",1,0,0,0,0,0,0,1
"generated waste, LDPE Food Packaging Film (small format)","Low-tech Sorting, Collected LDPE Food Packaging Film (small format)",1,0,0,0,0,0,0,1
"generated waste, LDPE Food Packaging Film (small format)","High-tech Sorting, Collected LDPE Food Packaging Film (small format)",1,0,0,0,0,0,0,1
"generated waste, LDPE Food Packaging Film (small format)","Disposal, LDPE Food Packaging Film (small format) (copy)",1,0,0,0,0,0,0,1
"generated waste, LDPE Non-food Packaging Film","Low-tech Sorting, Collected LDPE Non-food Packaging Film",1,0,0,0,0,0,0,1
"generated waste, LDPE Non-food Packaging Film","High-tech Sorting, Collected LDPE Non-food Packaging Film",1,0,0,0,0,0,0,1
"generated waste, LDPE Non-food Packaging Film","Disposal, LDPE Non-food Packaging Films (copy)",1,0,0,0,0,0,0,1
"generated waste, Multi-material Food Bottles","Low-tech Sorting, Collected Multi-material Food Bottles",1,0,0,0,0,0,0,1
"generated waste, Multi-material Food Bottles","High-tech Sorting, Collected Multi-material Food Bottles",1,0,0,0,0,0,0,1
"generated waste, Multi-material Food Bottles","Disposal, Multi-material Food Bottles (copy)",1,0,0,0,0,0,0,1
"generated waste, Multi-material Food Packaging Film (med-large format)","Low-tech Sorting, Collected Multi-material Food Packaging Film (med-large format)",1,0,0,0,0,0,0,1
"generated waste, Multi-material Food Packaging Film (med-large format)","High-tech Sorting, Collected Multi-material Food Packaging Film (med-large format)",1,0,0,0,0,0,0,1
"generated waste, Multi-material Food Packaging Film (med-large format)","Disposal, Multi-material Food Packaging Film (med-large format) (copy)",1,0,0,0,0,0,0,1
"generated waste, Multi-material Food Packaging Film (small format)","Low-tech Sorting, Collected Multi-material Food Packaging Film (small format)",1,0,0,0,0,0,0,1
"generated waste, Multi-material Food Packaging Film (small format)","High-tech Sorting, Collected Multi-material Food Packaging Film (small format)",1,0,0,0,0,0,0,1
"generated waste, Multi-material Food Packaging Film (small format)","Disposal, Multi-material Food Packaging Film (small format) (copy)",1,0,0,0,0,0,0,1
"generated waste, Multi-material Non-food Packaging Film","Low-tech Sorting, Collected Multi-material Non-food Packaging Film",1,0,0,0,0,0,0,1
"generated waste, Multi-material Non-food Packaging Film","High-tech Sorting, Collected Multi-material Non-food Packaging Film",1,0,0,0,0,0,0,1
"generated waste, Multi-material Non-food Packaging Film","Disposal, Multi-material Non-food Packaging Film (copy)",1,0,0,0,0,0,0,1
"generated waste, PET Drinking Bottles","Low-tech Sorting, Collected PET Drinking Bottles",1,0,0,0,0,0,0,1
"generated waste, PET Drinking Bottles","High-tech Sorting, Collected PET Drinking Bottles",1,0,0,0,0,0,0,1
"generated waste, PET Drinking Bottles","Disposal, PET Drinking Bottles (copy)",1,0,0,0,0,0,0,1
"generated waste, PET Food Bottles","Low-tech Sorting, Collected PET Food Bottles",1,0,0,0,0,0,0,1
"generated waste, PET Food Bottles","High-tech Sorting, Collected PET Food Bottles",1,0,0,0,0,0,0,1
"generated waste, PET Food Bottles","Disposal, PET Food Bottles (copy)",1,0,0,0,0,0,0,1
