Flow name,Process,Type of flow,,,,,,,,,,,,,,,,,,,,,,,
"Microplastics, PVC","Microplastics, PVC, Filtration",output,,,,,,,,,,,,,,,,,,,,,,,
"Microplastics, PVC","Microplastics, PVC, Marine Environment",output,,,,,,,,,,,,,,,,,,,,,,,
Ethanol (bio-mix),Ethanol (bio-mix),input,,,,,,,,,,,,,,,,,,,,,,,
Ethanol (bio-mix),"Ethanol production, corn dry mill",output,,,,,,,,,,,,,,,,,,,,,,,
Ethanol (bio-mix),"Ethanol production, corn stover, biochemical",output,,,,,,,,,,,,,,,,,,,,,,,
Ethanol (bio-mix),"Ethanol production, forest residues, thermochem",input,,,,,,,,,,,,,,,,,,,,,,,
Ethanol (bio-mix),"Ethanol production, switchgrass, biochemical",output,,,,,,,,,,,,,,,,,,,,,,,
Ethanol (bio-mix),"Ethanol production, wheat straw, biochemical",output,,,,,,,,,,,,,,,,,,,,,,,
"Flakes, HDPE Drinking Bottles","Flakes, HDPE Drinking Bottles",input,,,,,,,,,,,,,,,,,,,,,,,
"Flakes, HDPE Drinking Bottles","Pyrolysis, HDPE Drinking Bottles",output,,,,,,,,,,,,,,,,,,,,,,,
"Flakes, HDPE Drinking Bottles","Mechanical Recycling, HDPE Drinking Bottles (Flakes)",output,,,,,,,,,,,,,,,,,,,,,,,
"Flakes, HDPE Food Bottles","Flakes, HDPE Food Bottles",input,,,,,,,,,,,,,,,,,,,,,,,
"Flakes, HDPE Food Bottles","Pyrolysis, HDPE Food Bottles",output,,,,,,,,,,,,,,,,,,,,,,,
"Flakes, HDPE Food Bottles","Mechanical Recycling, HDPE Food Bottles (Flakes)",output,,,,,,,,,,,,,,,,,,,,,,,
"Flakes, HDPE Non-food Bottles","Flakes, HDPE Non-food Bottles",input,,,,,,,,,,,,,,,,,,,,,,,
"Flakes, HDPE Non-food Bottles","Pyrolysis, HDPE Non-food Bottles",output,,,,,,,,,,,,,,,,,,,,,,,
"Flakes, HDPE Non-food Bottles","Mechanical Recycling, HDPE Non-food Bottles (Flakes)",output,,,,,,,,,,,,,,,,,,,,,,,
