,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
Marine macroplastics,8.68E+09,5.33E+10,1.03E+11,1.60E+11,2.27E+11,3.04E+11,3.71E+11,4.32E+11,4.97E+11,5.61E+11,6.25E+11,6.86E+11,7.46E+11,8.03E+11,8.56E+11,9.10E+11
Terrestrial macroplastics,2.82E+10,1.29E+11,2.13E+11,3.02E+11,4.08E+11,5.31E+11,6.17E+11,7.07E+11,8.04E+11,9.02E+11,9.97E+11,1.09E+12,1.18E+12,1.27E+12,1.36E+12,1.45E+12
