,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
Marine macroplastics,8.69E+09,5.33E+10,1.03E+11,1.60E+11,2.27E+11,3.05E+11,3.92E+11,4.88E+11,5.87E+11,6.84E+11,7.78E+11,8.68E+11,9.56E+11,1.04E+12,1.12E+12,1.19E+12
Terrestrial macroplastics,2.82E+10,1.29E+11,2.13E+11,3.02E+11,4.08E+11,5.30E+11,6.67E+11,8.17E+11,9.61E+11,1.10E+12,1.24E+12,1.38E+12,1.51E+12,1.65E+12,1.77E+12,1.90E+12
