,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
Total damage,5.46E+04,2.08E+05,3.27E+05,4.45E+05,5.81E+05,7.34E+05,9.54E+05,1.07E+06,1.18E+06,1.28E+06,1.38E+06,1.46E+06,1.53E+06,1.60E+06,1.66E+06,1.71E+06
damage due to macroplastics marine,6.11E+01,2.29E+02,4.19E+02,6.32E+02,8.80E+02,1.16E+03,1.38E+03,1.58E+03,1.78E+03,1.98E+03,2.17E+03,2.35E+03,2.52E+03,2.68E+03,2.83E+03,2.96E+03
damage due to microplastics terrestrial,3.72E+04,1.52E+05,2.28E+05,2.98E+05,3.78E+05,4.67E+05,5.04E+05,5.50E+05,6.02E+05,6.47E+05,6.86E+05,7.20E+05,7.49E+05,7.74E+05,7.95E+05,8.13E+05
damage due to microplastics marine,1.73E+04,5.56E+04,9.85E+04,1.46E+05,2.02E+05,2.66E+05,4.49E+05,5.18E+05,5.76E+05,6.34E+05,6.87E+05,7.37E+05,7.82E+05,8.25E+05,8.63E+05,8.97E+05
