index,is input,flow ID,flow name,flow category,flow unit,flow type,location ID,location name,location code
1234,false,b226d15c-c2e3-3059-bb74-322e3d3fe53d,Acetochlor,Elementary flows/emission/air,kg,elementary,,,
1235,false,33ef7f92-3412-3640-94aa-034580f6485a,Trifluralin,Elementary flows/emission/water,kg,elementary,,,
1236,false,8599e263-6ba7-371f-9781-940f34ccf742,Alachlor,Elementary flows/emission/water,kg,elementary,,,
1237,false,a027e850-76b7-38b3-b2b2-992245442e94,Fipronil,Elementary flows/emission/water,kg,elementary,,,
1238,false,d7abf794-b082-3702-8b27-b95e23b09601,Benomyl,Elementary flows/emission/water,kg,elementary,,,
1239,false,b7271ab2-884e-3d5f-83ee-66709a9fd3cc,Dicamba,Elementary flows/emission/water,kg,elementary,,,
1240,false,1628c7b9-2292-32b7-a640-1c471768ff8c,Fipronil,Elementary flows/emission/air,kg,elementary,,,
1241,false,efaf3116-957a-3145-9b89-9147ffb3c8b1,Water,Elementary flows/emission/water/subterranean,kg,elementary,,,
1242,false,d6303ae0-9260-3327-8795-28bdc5265b4a,Priority pollutants,Elementary flows/emission/ground/human-dominated/industrial,kg,elementary,,,
1243,false,b3447c56-0205-34f1-8b36-f7a8214c8bfb,Glyphosate,Elementary flows/emission/water,kg,elementary,,,
1244,false,e97ee4e5-6f17-3b50-8bf0-392a00398dcf,Chloromethane,Elementary flows/emission/air/troposphere/urban,kg,elementary,,,
1245,false,7da38308-b536-32b4-b334-a34c8d952f07,Deltamethrin,Elementary flows/emission/water,kg,elementary,,,
1246,false,d0408e62-d55b-3445-a7f2-ac47dc93c4a4,"Disposal, secondary fuel",Technosphere flows/CUTOFF Flows/CUTOFF Waste Flows,MJ,waste,,,
1247,false,7feae0b3-8fb8-3caf-9078-f23b4fd362d1,Dimethenamid,Elementary flows/emission/water,kg,elementary,,,
1248,false,1e981c2b-4012-3364-8593-4d4f8b302a44,Mancozeb,Elementary flows/emission/water,kg,elementary,,,
1249,true,1dd8f794-659e-4404-a847-32b2b233b74f,"Transformation, to seabed, unspecified",Ecosystem Services,m2,product,,,
1250,false,ec278fbc-9d2f-319a-8a83-edbfb4f00cbd,Diethylamine,Elementary flows/emission/air,kg,elementary,,,
1251,true,2c126bcc-bb63-4d63-bd72-f02a1e616809,"Transformation, from pasture and meadow",Ecosystem Services,m2,product,,,
1252,false,519304bd-4c88-3bba-b5eb-c1f1e85967f0,Ruthenium-103,Elementary flows/emission/water/fresh water body,kBq,elementary,,,
1253,false,ea9bfbbf-6752-39cb-bfeb-1346a0ea3d3f,Cesium-136,Elementary flows/emission/water/fresh water body,kBq,elementary,,,
1254,true,90a5a447-af6f-421a-8201-011f07ad1150,"Transformation, to dump site",Ecosystem Services,m2,product,,,
1255,true,d2576910-8825-309e-8846-46e639086dbd,Kaolinite,Elementary flows/resource/ground/subterranean,kg,elementary,,,
1256,false,0fcafbf0-b43e-35ff-b6ec-f9672025bdb8,4-Chlorophenoxyacetic acid,Elementary flows/emission/air,kg,elementary,,,
1257,true,b271b07a-dc25-48c3-9988-07c9a8607ac5,"Transformation, from seabed, unspecified",Ecosystem Services,m2,product,,,
1258,false,df9f186c-1152-35ce-b289-dd49e0cc58ef,Tantalum,Elementary flows/emission/water/fresh water body,kg,elementary,,,
1259,false,7c7fe391-b1aa-4e0d-9859-832725ec0f4f,"Disposal, solid waste, unspecified, to sanitary landfill",Technosphere flows/CUTOFF Flows/CUTOFF Waste Flows,kg,waste,,,
1260,true,bf82ee43-e344-38b0-aaee-135d817e1624,"Cement bags, at plant",Technosphere flows/CUTOFF Flows,kg,product,,,
1261,false,887419d2-a15b-3b0e-beb1-d0f98002952f,Nitrogen oxides,Elementary flows/emission/air/troposphere/rural,kg,elementary,,,
1262,false,6ad39736-422a-486c-b12c-0ae88d3ad013,"Waste, tire derived, combusted in industrial boiler",Technosphere flows/CUTOFF Flows/CUTOFF Waste Flows,kg,waste,,,
1263,false,8408f919-e260-348e-bf46-cf1b50d50e5e,"Particulate matter, ≤ 2.5μm",Elementary flows/emission/air/troposphere/rural,kg,elementary,,,
1264,false,2e84eb20-ab0d-341a-be01-f815da246810,Hydrochloric acid,Elementary flows/emission/air/troposphere/rural,kg,elementary,,,
1265,false,f0dcfb5e-67e7-35c0-8e15-b01af6febad1,"Particulate matter, > 2.5μm and ≤ 10μm",Elementary flows/emission/air/troposphere/rural,kg,elementary,,,
1266,false,457679e0-817e-3175-b6db-6d18eef2c392,Carbon dioxide,Elementary flows/emission/air/troposphere/rural,kg,elementary,,,
1267,false,9874f7d3-cf12-3f20-ad53-4369a9c257a7,Mercury,Elementary flows/emission/air/troposphere/rural,kg,elementary,,,
1268,false,e2028a0c-2feb-33a5-965f-fa7113b66bad,Sulfur dioxide,Elementary flows/emission/air/troposphere/rural,kg,elementary,,,
1269,false,3fb21335-87be-3726-b31a-8fc9e98ad9cc,Carbon monoxide,Elementary flows/emission/air/troposphere/rural,kg,elementary,,,
1270,false,19da3075-55aa-4875-8e3e-0fa38df9aa8d,"Waste, oil, combusted in industrial boiler",Technosphere flows/CUTOFF Flows/CUTOFF Waste Flows,m3,waste,,,
1271,true,03f7870f-062a-3dd1-b3ec-1566c69918b8,"Fly ash, unspecified origin",Technosphere flows/CUTOFF Flows,kg,product,,,
