Year,Electricity_Price_2025USD_per_MJ
2025,0.029281610413169852
2026,0.029173493106201164
2027,0.029065375799232476
2028,0.028957258492263795
2029,0.028849141185295107
2030,0.02874102387832642
2031,0.028560570740310674
2032,0.028380117602294922
2033,0.028199664464279177
2034,0.028019211326263428
2035,0.02783875818824768
2036,0.027616122494934083
2037,0.027393486801620483
2038,0.027170851108306887
2039,0.026948215414993287
2040,0.02672557972167969
2041,0.02652618618362427
2042,0.02632679264556885
2043,0.02612739910751343
2044,0.025928005569458012
2045,0.02572861203140259
2046,0.025634994766532897
2047,0.025541377501663205
2048,0.02544776023679351
2049,0.025354142971923822
2050,0.02526052570705413
2051,0.025180912387954703
2052,0.025101299068855276
2053,0.025021685749755853
2054,0.024942072430656426
2055,0.024862459111557
2056,0.024830729229843137
2057,0.024798999348129267
2058,0.024767269466415404
2059,0.024735539584701535
2060,0.024703809702987668
2061,0.02468848311538696
2062,0.024673156527786254
2063,0.024657829940185547
2064,0.02464250335258484
2065,0.024627176764984132
2066,0.02468143804043579
2067,0.02473569931588745
2068,0.02478996059133911
2069,0.02484422186679077
2070,0.02489848314224243
2071,0.02492963748460388
2072,0.02496079182696533
2073,0.02499194616932678
2074,0.02502310051168823
2075,0.02505425485404968
2076,0.0250935419646759
2077,0.025132829075302118
2078,0.025172116185928343
2079,0.025211403296554562
2080,0.02525069040718078
2081,0.025278629842498773
2082,0.025306569277816767
2083,0.02533450871313476
2084,0.025362448148452756
2085,0.02539038758377075
2086,0.025427835672912596
2087,0.025465283762054446
2088,0.025502731851196295
2089,0.02554017994033814
2090,0.02557762802947999
2091,0.025824607516151434
2092,0.02607158700282288
2093,0.026318566489494325
2094,0.026565545976165773
2095,0.026812525462837217
2096,0.026916395948593137
2097,0.027020266434349058
2098,0.027124136920104982
2099,0.0272280074058609
2100,0.02733187789161682
