,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
Total microplastics,5.34E+09,2.02E+10,3.01E+10,3.94E+10,5.01E+10,6.21E+10,7.46E+10,8.75E+10,9.79E+10,1.07E+11,1.14E+11,1.20E+11,1.26E+11,1.31E+11,1.35E+11,1.39E+11
Primary Microplastics,3.93E+08,4.64E+08,5.89E+08,7.14E+08,8.93E+08,1.07E+09,1.25E+09,1.43E+09,1.52E+09,1.61E+09,1.67E+09,1.73E+09,1.78E+09,1.82E+09,1.85E+09,1.87E+09
Secondary Microplastics,4.95E+09,1.98E+10,2.95E+10,3.86E+10,4.92E+10,6.10E+10,7.34E+10,8.60E+10,9.64E+10,1.05E+11,1.12E+11,1.19E+11,1.24E+11,1.29E+11,1.33E+11,1.37E+11
