Scenario,Year,Value
SSP3,2084,1.6400000000000001
SSP3,2085,1.6
SSP3,2086,1.56
SSP3,2087,1.52
SSP3,2088,1.48
SSP3,2089,1.44
SSP3,2090,1.4
SSP3,2091,1.3599999999999999
SSP3,2092,1.3199999999999998
SSP3,2093,1.28
SSP3,2094,1.24
SSP3,2095,1.2
SSP3,2096,1.1600000000000001
SSP3,2097,1.12
SSP3,2098,1.08
SSP3,2099,1.04
SSP3,2100,1.0
