,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
Total microplastics,5.34E+09,2.03E+10,3.01E+10,3.94E+10,5.01E+10,6.21E+10,6.94E+10,7.58E+10,8.29E+10,8.93E+10,9.48E+10,9.97E+10,1.04E+11,1.08E+11,1.11E+11,1.14E+11
Primary Microplastics,3.93E+08,4.64E+08,5.89E+08,7.14E+08,8.93E+08,1.07E+09,3.94E+09,4.51E+09,4.79E+09,5.07E+09,5.27E+09,5.47E+09,5.61E+09,5.75E+09,5.83E+09,5.92E+09
Secondary Microplastics,4.95E+09,1.98E+10,2.95E+10,3.86E+10,4.92E+10,6.10E+10,6.55E+10,7.12E+10,7.81E+10,8.42E+10,8.95E+10,9.43E+10,9.83E+10,1.02E+11,1.05E+11,1.08E+11
