Flow name,Process,Type of flow,,,,,,,,,,,,,,,,,,,,,,,
"generated waste, PP Food Packaging Film (small format)","generated waste, PP Food Packaging Film (small format)",input,,,,,,,,,,,,,,,,,,,,,,,
"generated waste, PP Food Packaging Film (small format)","Low-tech Sorting, Collected PP Food Packaging Film (small format)",output,,,,,,,,,,,,,,,,,,,,,,,
"generated waste, PP Food Packaging Film (small format)","High-tech Sorting, Collected PP Food Packaging Film (small format)",output,,,,,,,,,,,,,,,,,,,,,,,
"generated waste, PP Food Packaging Film (small format)","Disposal, PP Food Packaging Film (small format) (copy)",output,,,,,,,,,,,,,,,,,,,,,,,
"generated waste, PP Non-food Bottles","generated waste, PP Non-food Bottles",input,,,,,,,,,,,,,,,,,,,,,,,
"generated waste, PP Non-food Bottles","Low-tech Sorting, Collected PP Non-food Bottles",output,,,,,,,,,,,,,,,,,,,,,,,
"generated waste, PP Non-food Bottles","High-tech Sorting, Collected PP Non-food Bottles",output,,,,,,,,,,,,,,,,,,,,,,,
"generated waste, PP Non-food Bottles","Disposal, PP Non-food Bottles (copy)",output,,,,,,,,,,,,,,,,,,,,,,,
"generated waste, PP Non-food Packaging Film","generated waste, PP Non-food Packaging Film",input,,,,,,,,,,,,,,,,,,,,,,,
"generated waste, PP Non-food Packaging Film","Low-tech Sorting, Collected PP Non-food Packaging Film",output,,,,,,,,,,,,,,,,,,,,,,,
"generated waste, PP Non-food Packaging Film","High-tech Sorting, Collected PP Non-food Packaging Film",output,,,,,,,,,,,,,,,,,,,,,,,
"generated waste, PP Non-food Packaging Film","Disposal, PP Non-food Packaging Films (copy)",output,,,,,,,,,,,,,,,,,,,,,,,
"generated waste, PP Other Food Rigid","generated waste, PP Other Food Rigid",input,,,,,,,,,,,,,,,,,,,,,,,
"generated waste, PP Other Food Rigid","Low-tech Sorting, Collected PP Other Food Rigid",output,,,,,,,,,,,,,,,,,,,,,,,
"generated waste, PP Other Food Rigid","High-tech Sorting, Collected PP Other Food Rigid",output,,,,,,,,,,,,,,,,,,,,,,,
"generated waste, PP Other Food Rigid","Disposal, PP Other Food Rigid (copy)",output,,,,,,,,,,,,,,,,,,,,,,,
"generated waste, PP Other Non-food Rigid","generated waste, PP Other Non-food Rigid",input,,,,,,,,,,,,,,,,,,,,,,,
"generated waste, PP Other Non-food Rigid","Low-tech Sorting, Collected PP Other Non-food Rigid",output,,,,,,,,,,,,,,,,,,,,,,,
"generated waste, PP Other Non-food Rigid","High-tech Sorting, Collected PP Other Non-food Rigid",output,,,,,,,,,,,,,,,,,,,,,,,
"generated waste, PP Other Non-food Rigid","Disposal, PP Other Non-food Rigid (copy)",output,,,,,,,,,,,,,,,,,,,,,,,
"generated waste, PS Other Food Rigid","generated waste, PS Other Food Rigid",input,,,,,,,,,,,,,,,,,,,,,,,
"generated waste, PS Other Food Rigid","Low-tech Sorting, Collected PS Other Food Rigid",output,,,,,,,,,,,,,,,,,,,,,,,
"generated waste, PS Other Food Rigid","High-tech Sorting, Collected PS Other Food Rigid",output,,,,,,,,,,,,,,,,,,,,,,,
"generated waste, PS Other Food Rigid","Disposal, PS Other Food Rigid (copy)",output,,,,,,,,,,,,,,,,,,,,,,,
"generated waste, PVC Other Food Rigid","generated waste, PVC Other Food Rigid",input,,,,,,,,,,,,,,,,,,,,,,,
"generated waste, PVC Other Food Rigid","Low-tech Sorting, Collected PVC Other Food Rigid",output,,,,,,,,,,,,,,,,,,,,,,,
"generated waste, PVC Other Food Rigid","High-tech Sorting, Collected PVC Other Food Rigid",output,,,,,,,,,,,,,,,,,,,,,,,
"generated waste, PVC Other Food Rigid","Disposal, PVC Other Food Rigid (copy)",output,,,,,,,,,,,,,,,,,,,,,,,
"generated waste, PVC Other Non-food Rigid","generated waste, PVC Other Non-food Rigid",input,,,,,,,,,,,,,,,,,,,,,,,
"generated waste, PVC Other Non-food Rigid","Low-tech Sorting, Collected PVC Other Non-food Rigid",output,,,,,,,,,,,,,,,,,,,,,,,
"generated waste, PVC Other Non-food Rigid","High-tech Sorting, Collected PVC Other Non-food Rigid",output,,,,,,,,,,,,,,,,,,,,,,,
"generated waste, PVC Other Non-food Rigid","Disposal, PVC Other Non-food Rigid (copy)",output,,,,,,,,,,,,,,,,,,,,,,,
